JP	MEANING	FORM	EXAMPLE
～から～にかけて	Từ ... đến ...	Ｎ＋から　Ｎ＋にかけて	このあたりでは、４月から５月にかけていろいろな花が咲く。	deck#2	due@2025-03-10 12:29:18
～だらけ	Toàn là ...: Trong tình trạng có đầy thứ (nghĩa tiêu cực)	Ｎ＋だらけ	数学の答案は間違いだらけだった。	deck#2	due@2025-03-10 12:27:40
～おがげ	Nhờ vào	[N/V/A] dạng bổ nghĩa danh từ	仕事が早く済んだのは、友達が手伝ってくれたおかげだ。	deck#2	due@2025-03-10 12:21:44
～せい	Do ~ dẫn đến kết quả tiêu cục; khiển trách	[N/V/A] dạng bổ nghĩa danh từ	あの人のせいでみんなが迷惑している。	deck#2	due@2025-03-10 12:22:14
～せいか	Không thể chắc chắn nhưng rất có thể nguyên nhân là	[N/V/A] dạng bổ nghĩa danh từ	気のせいか、最近父は元気がないようだ。	deck#2	due@2025-03-10 12:29:28
～とおり（に）／どおり（に）	Theo như	外国語だと、なかなか思ったとおりに話すことができない。		deck#2	due@2025-03-10 12:22:17
～について／つき	Nói/viết/điều tra về ...	Ｎ＋～について／つき	私は大学で日本の歴史について勉強したい。	deck#2	due@2025-03-10 12:27:22
～にかんして	Về; giống ～について; có quan hệ với;Ｎ＋にかんして	申し込み手続きにかんしてお伺いしたいのですが。		deck#2	due@2025-03-10 12:23:36
～に比べて	Nói về sự so sánh lấy ~ làm tiêu chuẩn	Ｎ＋に比べて	昼間に比べて深夜は電気料金は安い。	deck#2	due@2025-03-10 12:28:24
～に加えて	Ngoài ra; thêm vào đó	Ｎ＋に加えて	今週はいつものテストに加えてレポート提出もあり、とても忙しい。	deck#2	due@2025-03-10 12:26:48
～にたいして	A thì ... nhưng B thì ...	Ｎ＋にたいして	あの二人は双子なのに兄はおとなしいのにたいして、弟はよくしゃべる。	deck#2	due@2025-03-10 12:26:40
～たびに	Mỗi khi/mỗi lần ...	Ｎ＋の／Ｖる＋たびに	バーゲンセールのたびに、ついいらないものも買ってしまう。	deck#2	due@2025-03-10 12:25:21
～たとえ～ても	Giả định	[V/A-い/A-な] thểて+も／N+でも	たとえ少々高くても、質のいい物が買いたい。	deck#2	due@2025-03-10 12:23:08
～って	Truyền đạt thông tin (dùng trong văn nói)	[N/V/Aい/Aな] chia thể thông thường + って	「田中さん、行くって？」「ううん、いかないって」	deck#2	due@2025-03-10 12:22:43
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns JP
#--showcolumns JP,MEANING,FORM,EXAMPLE
