KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
演	diễn	performance	water; water droplets; water pistol; sign of the tiger; house; caterpillar; one; ceiling; sprout; shoot; animal legs; eight		55.00	3.00
震	chấn	quake	rain; weather; sign of the dragon; cliff; two; hairpin; safety-pin		55.00	2.00
農	nông	agriculture	bend; sign of the dragon; cliff; two; hairpin; safety-pin		55.00	2.00
濃	nồng	concentrated	water; water droplets; water pistol; agriculture; bend; sign of the dragon; cliff; two; hairpin; safety-pin		55.00	2.00
送	tống	send off	escort; golden calf; horns; heavens; road		55.00	4.00
関	quan	connection	gates; golden calf; horns; heavens		55.00	3.00
咲	tiếu	blossom	mouth; golden calf; horns; heavens		55.00	2.00
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
