KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
門		gates			42.00	2.00	deck#3	due@2025-08-26 23:58:12
問		question	gates; mouth;	You begin to question all of the holes Gates leaves in his software.	42.00	4.00	deck#4	due@2025-09-18 23:56:30
間		interval	gates; sun;	We open the gates at regular intervals to let a bit of sun in.	42.00	5.00	deck#4	due@2025-09-18 23:58:00
闇		pitch dark	gates; sound;	"Through the gates of hell there is no sound, no light, its all pitch dark."	42.00	5.00	deck#4	due@2025-09-18 23:54:19
簡		simplicity	bamboo; interval;	The simplicity of bamboo plant is in all its joints being at equal intervals.	42.00	2.00	deck#2	due@2025-08-20 23:55:33
開		open	gates; two hands;	"To open the gate, use your both hands."	42.00	4.00	deck#2	due@2025-08-20 23:53:52
閉		closed	gates; genie;	The gates are too big to be closed by man. Only a genie can.	42.00	3.00	deck#2	due@2025-08-20 23:53:51
聞		hear	gates; ear;	Press your ear to the gates and see if you can hear what is going on inside.	42.00	5.00	deck#2	due@2025-08-20 23:57:52
非		un-	jail cell; prison bars		42.00	3.00	deck#4	due@2025-09-18 23:54:56
悲		sad	jail cell; heart;	"Saddness is like having your heart captured and jailed because of some sad orterrible event, "	42.00	3.00	deck#4	due@2025-09-18 23:54:31
罪		guilt	eye; jail cell;	"Guilty under the eyes of the law, therefore sentenced to jail."	42.00	3.00	deck#4	due@2025-09-18 23:56:21
喉		throat	mouth; marquis;	"If the marquis opens his mouth one more time, I'll cut his throat"	42.00	5.00	deck#4	due@2025-09-18 23:54:49
候		climate	marquis; person; stick;	The marquis has absolutely no interest in issuses of climate change. He's old and near death.	42.00	3.00	deck#2	due@2025-08-20 23:57:18
決		decide	water; guillotine;	To decide if someone is a witch or not first dunk them in water. If they don't drown they are a witch and can be sent to the guillotine.	42.00	3.00	deck#4	due@2025-09-18 23:58:06
快		cheerful	state of mind; guillotine;	A large crowd in a cheerful state of mind applaude each criminal as they become victims of the guillotine.	42.00	2.00	deck#3	due@2025-08-26 23:56:09
偉		admirable	person; locket;	"Mr. T is certainly an ADMIRABLE PERSON, so much so that paents are buying lockets with his picture in it and having their children wear them like amulets."	42.00	3.00	deck#3	due@2025-08-26 23:53:54
違		difference	locket; road;	You lose your precious locket on the road to somewhere.	42.00	3.00	deck#2	due@2025-08-20 23:57:32
韓		Korea	mist; locket;	the flag of South Korea: a locket (circular taegeuk) in the middle of the mist (white background)	42.00	5.00	deck#4	due@2025-09-18 23:57:43
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
